Kecamatan,Nama Toko,Alamat,Rating
"Koja, Jakarta Utara",Toko Bangunan Bintang Makmur,"Ps. Walang Baru, Jl. Alur Laut Sebelah No.1, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230, Indonesia",4.8
"Koja, Jakarta Utara",TB. Kartika Makmur,"Jl. Alur Laut No.3 1, RT.1/RW.6, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230, Indonesia",4.5
"Koja, Jakarta Utara",TB. Permai,"Jl. Plumpang Semper No.4B, RT.2/RW.2, Tugu Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260, Indonesia",4.6
"Koja, Jakarta Utara",TB. Trisno (TOKO BANGUNAN TRISNO),"Jl. Lagoa B A No.1C, RT.2/RW.2, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270, Indonesia",4.5
"Koja, Jakarta Utara",Tb. Seri Jaya Bangunan,"Blok K no. 67, Jl. Mundu, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270, Indonesia",5.0
"Koja, Jakarta Utara",Tb Sinar Terang,"Jl. Menteng Terusan No.4 4, RT.4/RW.8, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270, Indonesia",4.3
"Pademangan, Jakarta Utara",TB. Maju Jaya (matrial),"Gg. Hidup Baru No.12A, RT.14/RW.4, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",4.5
"Pademangan, Jakarta Utara",TB JAYA BARU,"Jl. Ampera Besar No.17, RT.4/RW.4, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",5.0
"Pademangan, Jakarta Utara",Tb. Pelita,"VR7Q+339, Jl. Budi Mulia, RT.5/RW.5, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",4.5
"Pademangan, Jakarta Utara",Toko Bangunan Jaya Ancol,"Jl. Pademangan VII No.45-46, RT.5/RW.10, Pademangan Tim., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14410, Indonesia",4.0
"Pademangan, Jakarta Utara",TB Trio Jaya,"No.2, Jl. Pademangan III Gg. 32 No.5, RT.10/RW.10, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",4.5
"Pademangan, Jakarta Utara",TB. Karya Mandiri Jaya bambu,"7, Jl. Budi Mulia No.20A, RT.16/RW.7, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",4.9
"Pademangan, Jakarta Utara",TB. Trio Makmur,"VR7P+F78, RT.9/RW.8, Kota Tua, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",4.8
"Pademangan, Jakarta Utara",Toko Bangunan,"Jl. R No.15 9, RT.9/RW.6, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",5.0
"Penjaringan, Jakarta Utara",Toko Sentra Bangunan Pluit,"tlp :, Jl. Pluit Selatan I No.: 51 21, RT.21/RW.6, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",4.7
"Penjaringan, Jakarta Utara",TB. Sinar Semesta,"Jl. Pluit Karang Bar. No.108, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",4.9
"Penjaringan, Jakarta Utara",Toko Bangunan Muara Makmur,"7, Jl. Muara Baru No.36-37, RW.17, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",4.6
"Penjaringan, Jakarta Utara",TB. Sinar Kumala,"Jl. Tanah Pasir No.70, RT.2/RW.7, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",4.7
"Penjaringan, Jakarta Utara",Toko Mitra Utama,"Jl. Muara Karang Blok Z-3 Selatan No. 74 Pejagalan Penjaringan Jakarta Utara, RT.23/RW.8, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",4.2
"Penjaringan, Jakarta Utara",TB. Sinar Pacific,"Jl. Tanah Pasir No.8, RT.6/RW.8, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",4.3
"Penjaringan, Jakarta Utara",Toko Bangunan JAYA,"Jl. Gedong Panjang No.53, RT.2/RW.4, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",5.0
"Penjaringan, Jakarta Utara",Super Bangunan,"Jl. Muara Karang Raya No.105, RT.11/RW.17, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",4.0
"Tanjung Priok, Jakarta Utara",TB. Jaya Sakti,"Jl. Bugis No.35, RT.1/RW.11, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320, Indonesia",4.6
"Tanjung Priok, Jakarta Utara",Toko Bangunan Lancar,"Jl. Muara Bahari No.37B, RT.8/RW.1, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",4.7
"Tanjung Priok, Jakarta Utara",PD. Harapan Maju,"Jl. Tenggiri No.58P, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310, Indonesia",4.7
"Tanjung Priok, Jakarta Utara",TB. PELANGI JAYA,"Jl. Warakas Raya No.72, RT.1/RW.8, Warakas, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14370, Indonesia",4.4
"Tanjung Priok, Jakarta Utara",Toko New Jaya Bahan Bangunan,"Jl. Sunter Kemayoran No.6, RT.8/RW.9, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360, Indonesia",4.7
"Tanjung Priok, Jakarta Utara",TB.Inti Bangunan,"Jl. Sunter Permai Raya No.12B, RT.5/RW.18, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",4.7
"Tanjung Priok, Jakarta Utara",TB. Sinar Makmur,"Jl. H. Mawar No.78, RT.7/RW.3, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360, Indonesia",4.3
"Tanjung Priok, Jakarta Utara",TB. Sumber Jaya,"Jl.Agung Utara Raya Blok A 36 D No 59, RT.11/RW.9, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",4.7
